0
AMT_ANNUITY: 12 null values
AMT_GOODS_PRICE: 278 null values
NAME_TYPE_SUITE: 1292 null values
OWN_CAR_AGE: 202929 null values
OCCUPATION_TYPE: 96391 null values
CNT_FAM_MEMBERS: 2 null values
EXT_SOURCE_1: 173378 null values
EXT_SOURCE_2: 660 null values
EXT_SOURCE_3: 60965 null values
APARTMENTS_AVG: 156061 null values
BASEMENTAREA_AVG: 179943 null values
YEARS_BEGINEXPLUATATION_AVG: 150007 null values
YEARS_BUILD_AVG: 204488 null values
COMMONAREA_AVG: 214865 null values
ELEVATORS_AVG: 163891 null values
ENTRANCES_AVG: 154828 null values
FLOORSMAX_AVG: 153020 null values
FLOORSMIN_AVG: 208642 null values
LANDAREA_AVG: 182590 null values
LIVINGAPARTMENTS_AVG: 210199 null values
LIVINGAREA_AVG: 154350 null values
NONLIVINGAPARTMENTS_AVG: 213514 null values
NONLIVINGAREA_AVG: 169682 null values
APARTMENTS_MODE: 156061 null values
BASEMENTAREA_MODE: 179943 null values
YEARS_BEGINEXPLUATATION_MODE: 150007 null values
YEARS_BUILD_MODE: 204488 null values
COMMONAREA_MODE: 214865 null values
ELEVATORS_MODE: 163891 null values
ENTRANCES_MODE: 154828 null values
FLOORSMAX_MODE: 153020 null values
FLOORSMIN_MODE: 208642 null values
LANDAREA_MODE: 182590 null values
LIVINGAPARTMENTS_MODE: 210199 null values
LIVINGAREA_MODE: 154350 null values
NONLIVINGAPARTMENTS_MODE: 213514 null values
NONLIVINGAREA_MODE: 169682 null values
APARTMENTS_MEDI: 156061 null values
BASEMENTAREA_MEDI: 179943 null values
YEARS_BEGINEXPLUATATION_MEDI: 150007 null values
YEARS_BUILD_MEDI: 204488 null values
COMMONAREA_MEDI: 214865 null values
ELEVATORS_MEDI: 163891 null values
ENTRANCES_MEDI: 154828 null values
FLOORSMAX_MEDI: 153020 null values
FLOORSMIN_MEDI: 208642 null values
LANDAREA_MEDI: 182590 null values
LIVINGAPARTMENTS_MEDI: 210199 null values
LIVINGAREA_MEDI: 154350 null values
NONLIVINGAPARTMENTS_MEDI: 213514 null values
NONLIVINGAREA_MEDI: 169682 null values
FONDKAPREMONT_MODE: 210295 null values
HOUSETYPE_MODE: 154297 null values
TOTALAREA_MODE: 148431 null values
WALLSMATERIAL_MODE: 156341 null values
EMERGENCYSTATE_MODE: 145755 null values
OBS_30_CNT_SOCIAL_CIRCLE: 1021 null values
DEF_30_CNT_SOCIAL_CIRCLE: 1021 null values
OBS_60_CNT_SOCIAL_CIRCLE: 1021 null values
DEF_60_CNT_SOCIAL_CIRCLE: 1021 null values
DAYS_LAST_PHONE_CHANGE: 1 null values
AMT_REQ_CREDIT_BUREAU_HOUR: 41519 null values
AMT_REQ_CREDIT_BUREAU_DAY: 41519 null values
AMT_REQ_CREDIT_BUREAU_WEEK: 41519 null values
AMT_REQ_CREDIT_BUREAU_MON: 41519 null values
AMT_REQ_CREDIT_BUREAU_QRT: 41519 null values
AMT_REQ_CREDIT_BUREAU_YEAR: 41519 null values
